name,sku,category,subcategory,unit,brand,cost_price,selling_price,wholesale_price,opening_stock,min_stock,max_stock,track_stock,is_sellable,barcode,description,image_url,variation_name,variation_sku,variation_barcode
BUTTON,ZHD-0146,Unstitched Fabric,General Fabric,Piece,Din Couture,300,750,,175,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0147,Unstitched Fabric,General Fabric,Piece,Din Couture,300,750,,127,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0148,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,163,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0149,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,316,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0150,Unstitched Fabric,General Fabric,Piece,Din Couture,24,60,,50,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0151,Unstitched Fabric,General Fabric,Piece,Din Couture,204,510,,200,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0152,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,229,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0153,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,239,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0154,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,205,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0155,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,173,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0156,Unstitched Fabric,General Fabric,Piece,Din Couture,50,125,,264,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0157,Unstitched Fabric,General Fabric,Piece,Din Couture,500,1250,,38,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0158,Unstitched Fabric,General Fabric,Piece,Din Couture,200,500,,10,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0159,Unstitched Fabric,General Fabric,Piece,Din Couture,1000,2500,,10,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BUTTON,ZHD-0160,Unstitched Fabric,General Fabric,Piece,Din Couture,1000,2500,,10,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
PARSION MARINA,ZHD-0161,Unstitched Fabric,General Fabric,Piece,Din Couture,5200,13000,,135,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
PARSION EMB,ZHD-0162,Unstitched Fabric,General Fabric,Piece,Din Couture,6200,15500,,51,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
JOHRA,ZHD-0163,Unstitched Fabric,General Fabric,Piece,Johra,5000,12500,,2,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MARINA,ZHD-0164,Unstitched Fabric,General Fabric,Piece,Din Couture,4000,10000,,4,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
ABC KARANDI,ZHD-0165,Unstitched Fabric,Karandi,Piece,Din Couture,5000,12500,,11,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MARINA VELVET,ZHD-0166,Unstitched Fabric,General Fabric,Piece,Din Couture,4500,11250,,6,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
TAWAKAL,ZHD-0167,Unstitched Fabric,General Fabric,Piece,Din Couture,2000,5000,,13,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
HARIS VISCOS,ZHD-0168,Unstitched Fabric,General Fabric,Piece,Din Couture,4000,10000,,23,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
UK FASHION,ZHD-0169,Unstitched Fabric,General Fabric,Piece,Din Couture,3000,7500,,24,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
STICH LAWN,ZHD-0170,Unstitched Fabric,Lawn,Piece,Din Couture,1400,3500,,15,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
STICH LAWN 3PC,ZHD-0171,Unstitched Fabric,Lawn,Piece,Din Couture,3200,8000,,63,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
CHIKENKARI SHIRTS,ZHD-0172,Unstitched Fabric,General Fabric,Piece,Din Couture,5800,14500,,31,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
KARANDI SHAWL,ZHD-0173,Formal Wear,Shawl,Piece,Din Couture,2000,5000,,31,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX KAHDAR,ZHD-0174,Unstitched Fabric,Khaddar,Piece,Din Couture,2500,6250,,35,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX SIMI STICH,ZHD-0175,Unstitched Fabric,General Fabric,Piece,Din Couture,3600,9000,,20,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LAWN PRINT,ZHD-0176,Unstitched Fabric,Lawn,Piece,Din Couture,2000,5000,,9,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SHAMOS SILK SUIT,ZHD-0177,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,4000,10000,,19,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SHAMOS SILK SHIRT,ZHD-0178,Unstitched Fabric,Silk / Atlas,Piece,Din Couture,800,2000,,47,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LAW JACARD,ZHD-0179,Unstitched Fabric,General Fabric,Piece,Din Couture,2000,5000,,13,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
UK LAWN CUTWORK,ZHD-0180,Unstitched Fabric,Lawn,Piece,Din Couture,3000,7500,,76,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
CHIKENKARI 2P,ZHD-0181,Formal Wear,Suit,Piece,Din Couture,2200,5500,,28,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
ALL OVER 2P,ZHD-0182,Formal Wear,Suit,Piece,Din Couture,1200,3000,,53,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RIAZ ARTS LAWN,ZHD-0183,Unstitched Fabric,Lawn,Piece,Din Couture,3900,9750,,60,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RIAZ ARTS LAWN,ZHD-0184,Unstitched Fabric,Lawn,Piece,Din Couture,3500,8750,,9,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RIAZ ARTS LAWN,ZHD-0185,Unstitched Fabric,Lawn,Piece,Din Couture,5500,13750,,5,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
RIAZ ARTS LAWN,ZHD-0186,Unstitched Fabric,Lawn,Piece,Din Couture,2200,5500,,36,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LAWN CUTWORK,ZHD-0187,Unstitched Fabric,Lawn,Piece,Din Couture,3500,8750,,20,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BAREEZ LAWN,ZHD-0188,Unstitched Fabric,Lawn,Piece,Din Couture,5000,12500,,20,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SAYA LAWN,ZHD-0189,Unstitched Fabric,Lawn,Piece,Din Couture,3000,7500,,20,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SAYA PRINTED,ZHD-0190,Unstitched Fabric,General Fabric,Piece,Din Couture,2200,5500,,18,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
ABC REEM,ZHD-0191,Unstitched Fabric,General Fabric,Piece,Din Couture,4000,10000,,6,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
JOHRA CHIKENKARI,ZHD-0192,Unstitched Fabric,General Fabric,Piece,Johra,4000,10000,,34,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX,ZHD-0193,Unstitched Fabric,General Fabric,Piece,Din Couture,4500,11250,,42,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
ABC REEM,ZHD-0194,Unstitched Fabric,General Fabric,Piece,Din Couture,3500,8750,,24,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
ABC BLOCK PRINT,ZHD-0195,Unstitched Fabric,General Fabric,Piece,Din Couture,3000,7500,,4,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
ABC BLACK,ZHD-0196,Unstitched Fabric,General Fabric,Piece,Din Couture,2500,6250,,5,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
IZNIK,ZHD-0197,Unstitched Fabric,General Fabric,Piece,Iznik,6000,15000,,20,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
JAZMIN,ZHD-0198,Unstitched Fabric,General Fabric,Piece,Jazmin,9000,22500,,11,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX LAWN EMB,ZHD-0199,Unstitched Fabric,Lawn,Piece,Din Couture,3500,8750,,77,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
JOHRA,ZHD-0200,Unstitched Fabric,General Fabric,Piece,Johra,7000,17500,,1,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX EMB,ZHD-0201,Unstitched Fabric,General Fabric,Piece,Din Couture,3000,7500,,48,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
KAHDAR,ZHD-0202,Unstitched Fabric,Khaddar,Piece,Din Couture,3500,8750,,4,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BONANZA LAWN,ZHD-0203,Designer Brands,Lawn,Piece,Bonanza,3000,7500,,13,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX BONANZA,ZHD-0204,Unstitched Fabric,General Fabric,Piece,Bonanza,2800,7000,,22,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
CHINKENKARI WINTER,ZHD-0205,Unstitched Fabric,General Fabric,Piece,Din Couture,6000,15000,,15,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
KHADAR PRINTED,ZHD-0206,Unstitched Fabric,Khaddar,Piece,Din Couture,2200,5500,,19,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
MIX WINTER,ZHD-0207,Unstitched Fabric,General Fabric,Piece,Din Couture,6500,16250,,12,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
KHADAR PRINTED,ZHD-0208,Unstitched Fabric,Khaddar,Piece,Din Couture,2000,5000,,136,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
KHADAR EMB,ZHD-0209,Unstitched Fabric,Khaddar,Piece,Din Couture,3000,7500,,35,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
SHAWLS,ZHD-0210,Formal Wear,Shawl,Piece,Din Couture,2500,6250,,60,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LARSON BOX,ZHD-0211,Unstitched Fabric,General Fabric,Piece,Din Couture,2200,5500,,21,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
GUL AHMAD,ZHD-0212,Unstitched Fabric,General Fabric,Piece,Din Couture,1500,3750,,29,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BONANZA+ALKRAM,ZHD-0213,Unstitched Fabric,General Fabric,Piece,Bonanza,1500,3750,,106,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
KARANDI,ZHD-0214,Unstitched Fabric,Karandi,Piece,Din Couture,2000,5000,,3,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
LATHA AJAM,ZHD-0215,Unstitched Fabric,General Fabric,Piece,Din Couture,2200,5500,,27,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
TAYBO ZAM ZAM,ZHD-0216,Unstitched Fabric,General Fabric,Piece,Din Couture,2800,7000,,62,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
GN TAX,ZHD-0217,Unstitched Fabric,General Fabric,Piece,Din Couture,2000,5000,,54,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
WASH AND WEAR,ZHD-0218,Unstitched Fabric,General Fabric,Piece,Din Couture,2000,5000,,27,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
COTTON,ZHD-0219,Unstitched Fabric,Cotton,Piece,Din Couture,1500,3750,,19,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
COTTON,ZHD-0220,Unstitched Fabric,Cotton,Piece,Din Couture,1400,3500,,10,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
COTTON SHINE,ZHD-0221,Unstitched Fabric,Cotton,Piece,Din Couture,1400,3500,,9,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
WOOL GREEN,ZHD-0222,Unstitched Fabric,General Fabric,Piece,Din Couture,1600,4000,,12,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
WINTER GENT,ZHD-0223,Unstitched Fabric,General Fabric,Piece,Din Couture,1800,4500,,10,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
BOSKI,ZHD-0224,Unstitched Fabric,General Fabric,Piece,Din Couture,6500,16250,,8,1,,yes,yes,,Imported from item list slm zhd.xls - ZHD ITEM.csv,,,,
P. BANARSI SHEFON BOTI,SLM-0233,Unstitched Fabric,Pure - Banarsi,Meter,Din Couture,1500,3750,,248.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
P.MEENAKARI BAN SHEFON BOTI,SLM-0234,Unstitched Fabric,Pure - Banarsi,Meter,Din Couture,1800,4500,,172.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
S.PURE BAN SHAFFON BOOTI,SLM-0235,Unstitched Fabric,Semi-Pure - Banarsi,Meter,Din Couture,500,1250,,72.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
S.P BAN SHEFON JALL,SLM-0236,Unstitched Fabric,Semi-Pure - Banarsi,Meter,Din Couture,1800,4500,,419.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
PURE KATAN SILK BNRSI,SLM-0238,Unstitched Fabric,Pure - Banarsi,Meter,Din Couture,1800,4500,,368.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
PURE KATAN SATAN JAMAWAR,SLM-0247,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,4500,11250,,21.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
PURE KATAN SATAN JAMAWAR,SLM-0248,Unstitched Fabric,Pure - General Fabric,Meter,Din Couture,6000,15000,,19,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
BAMBER EMB LIGHT JALL,SLM-0259,Unstitched Fabric,Chiffon,Meter,Din Couture,1200,3000,,1995,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
BAMBER BDR DUPTA,SLM-0260,Unstitched Fabric,Chiffon,Meter,Din Couture,900,2250,,1022,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
"BA,MBER DOT DUPTA",SLM-0261,Unstitched Fabric,General Fabric,Meter,Din Couture,700,1750,,813,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
EMB SALE ITM JALL,SLM-0262,Unstitched Fabric,General Fabric,Meter,Din Couture,900,2250,,345.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
INDIAN CHKNKARI,SLM-0263,Unstitched Fabric,General Fabric,Meter,Din Couture,1400,3500,,628,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
INDIAN CHKNKARI,SLM-0264,Unstitched Fabric,General Fabric,Meter,Din Couture,2000,5000,,48,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
BAROSHA METRES,SLM-0270,Unstitched Fabric,General Fabric,Meter,Din Couture,1600,4000,,371,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
PURE JALL BAN KRNDI,SLM-0296,Unstitched Fabric,Pure - Banarsi,Meter,Din Couture,1100,2750,,16.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
PK TISSUE,SLM-0303,Unstitched Fabric,PK Viscos - Tissue,Meter,Din Couture,400,1000,,430.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
LAWN SUIT,SLM-0306,Unstitched Fabric,Lawn,Meter,Din Couture,6500,16250,,101,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
PK MUKESH,SLM-0309,Formal Wear,PK Viscos - Mukesh,Meter,Din Couture,6500,16250,,30,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
PK MUKESH SARI,SLM-0310,Formal Wear,PK Viscos - Saree,Meter,Din Couture,9000,22500,,4,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
LACES,SLM-0311,Accessories,Laces,Meter,Din Couture,400,1000,,208,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHAT PATI LACE,SLM-0312,Accessories,Laces,Meter,Din Couture,2100,5250,,5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
MASORI GOTA LACE,SLM-0313,Accessories,Laces,Meter,Din Couture,800,2000,,26.5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
GOTA LACE,SLM-0314,Accessories,Laces,Meter,Din Couture,400,1000,,34,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
LACE,SLM-0315,Accessories,Laces,Meter,Din Couture,250,625,,38,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
PEARL LACE,SLM-0316,Accessories,Laces,Meter,Din Couture,1,2.5,,30000,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0317,Accessories,Laces,Meter,Din Couture,1,2.5,,111600,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0318,Accessories,Laces,Meter,Din Couture,4300,10750,,9,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0319,Accessories,Laces,Meter,Din Couture,2500,6250,,29,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0320,Accessories,Laces,Meter,Din Couture,2900,7250,,67,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0321,Accessories,Laces,Meter,Din Couture,3400,8500,,32,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0322,Accessories,Laces,Meter,Din Couture,2600,6500,,7,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0323,Accessories,Laces,Meter,Din Couture,1900,4750,,100,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0324,Accessories,Laces,Meter,Din Couture,1200,3000,,6,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0325,Accessories,Laces,Meter,Din Couture,2400,6000,,14,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0326,Accessories,Laces,Meter,Din Couture,4400,11000,,10,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0327,Accessories,Laces,Meter,Din Couture,900,2250,,5,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0328,Accessories,Laces,Meter,Din Couture,1000,2500,,9,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0329,Accessories,Laces,Meter,Din Couture,600,1500,,13,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0330,Accessories,Laces,Meter,Din Couture,3000,7500,,24,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA LACE,SLM-0331,Accessories,Laces,Meter,Din Couture,3100,7750,,11,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
COLOR MILKY LACE,SLM-0332,Accessories,Laces,Meter,Din Couture,1,2.5,,39669,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
KUNDAN PEARL LACE,SLM-0333,Accessories,Laces,Meter,Din Couture,1,2.5,,330700,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0334,Accessories,Laces,Meter,Din Couture,1300,3250,,79,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0335,Accessories,Laces,Meter,Din Couture,3800,9500,,46,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0336,Accessories,Laces,Meter,Din Couture,1900,4750,,109,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0337,Accessories,Laces,Meter,Din Couture,3700,9250,,19,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0338,Accessories,Laces,Meter,Din Couture,4500,11250,,6,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0339,Accessories,Laces,Meter,Din Couture,2000,5000,,53,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0340,Accessories,Laces,Meter,Din Couture,2300,5750,,6,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0341,Accessories,Laces,Meter,Din Couture,3500,8750,,35,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0342,Accessories,Laces,Meter,Din Couture,2200,5500,,47,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0343,Accessories,Laces,Meter,Din Couture,2500,6250,,7,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
TILA COLOR LACE,SLM-0344,Accessories,Laces,Meter,Din Couture,12000,30000,,9,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
KIRAN LACE,SLM-0345,Accessories,Laces,Meter,Din Couture,1,2.5,,45700,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
MILKY FHD LACE,SLM-0346,Accessories,Laces,Meter,Din Couture,1,2.5,,85000,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0347,Accessories,Laces,Meter,Din Couture,55,137.5,,150,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0348,Accessories,Laces,Meter,Din Couture,166,415,,45,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0349,Accessories,Laces,Meter,Din Couture,450,1125,,10,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0350,Accessories,Laces,Meter,Din Couture,60,150,,150,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0351,Accessories,Laces,Meter,Din Couture,1950,4875,,4,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0352,Accessories,Laces,Meter,Din Couture,150,375,,13,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0353,Accessories,Laces,Meter,Din Couture,220,550,,30,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0354,Accessories,Laces,Meter,Din Couture,65,162.5,,75,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0355,Accessories,Laces,Meter,Din Couture,130,325,,20,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0356,Accessories,Laces,Meter,Din Couture,165,412.5,,25,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0357,Accessories,Laces,Meter,Din Couture,300,750,,12,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0358,Accessories,Laces,Meter,Din Couture,310,775,,12,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0359,Accessories,Laces,Meter,Din Couture,3000,7500,,4,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
CHINA MILKY LACE,SLM-0360,Accessories,Laces,Meter,Din Couture,1,2.5,,186420,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
LOCAL MILKY LACE,SLM-0361,Accessories,Laces,Meter,Din Couture,1,2.5,,6850,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
DAKHA LACE,SLM-0362,Accessories,Laces,Meter,Din Couture,1600,4000,,14,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 C.csv,,,,
PK MUKESH,SLM-0364,Formal Wear,PK Viscos - Mukesh,Piece,Din Couture,6500,16250,,30,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 B.csv,,,,
PK MUKESH SARI,SLM-0365,Formal Wear,PK Viscos - Saree,Piece,Din Couture,9000,22500,,4,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 B.csv,,,,
BANARSI MUKESH 2P,SLM-0366,Formal Wear,Mukesh,Piece,Din Couture,20500,51250,,2,1,,yes,yes,,Imported from item list slm zhd.xls - SLM A13 B.csv,,,,
